Animal counter alphabetically:
А,1753
Б,549
В,1046
Г,798
Д,108
Е,424
Ж,664
З,367
И,4
Й,2411
К,732
Л,1350
М,495
Н,834
О,1858
П,607
Р,1903
С,1049
Т,280
У,496
Ф,296
Х,240
Ц,727
Ч,289
Ш,160
Щ,234
Ъ,234
Ы,234
Ь,234
Э,147
Ю,222
Я,3453
